PART#,TX,PRICE
3310001,0,45.27
3310002,0,43
3310003,0,30.95
3310004,2,42.77
3310005,3,30.18
3310006,6,21.24
3310007,9,26.58
3310008,14,50.26
3310009,4,39.32
3310010,5,32.62
3310011,5,48.59
3310012,6,33.97
3310013,0,25.22
3310014,0,51.83
3310015,5,22.03
3310016,2,50.76
3310019,0,61.25
3310020,7,52.32
3310022,0,39.87
3310023,0,35.56
3310024,7,27.17
3310025,0,32.42
3310026,0,119.91
3310027,0,40.66
3310028,2,24.42
3310029,7,40.84
3310030,6,88.88
3310031,0,34.01
3310032,5,55.32
3310033,13,32.26
3310034,3,23.17
3310035,6,26.37
3310037,4,37.93
3310038,4,32.08
3310039,23,35.16
3310040,2,32.38
3310041,5,35.12
3310042,0,23.71
3310043,2,38.74
3310044,0,62.47
3310045,2,48.05
3310047,4,50.26
3310048,1,29.63
3310049,0,41.56
3310050,2,29.44
3310051,7,31.6
3310052,0,22.85
3310053,3,40.58
3310054,2,30.06
3310057,0,107.83
3310058,4,31.19
3310059,0,60.63
3310060,10,45.48
3310061,0,42.16
3310062,5,66.99
3310063,0,30.47
3310064,0,26.44
3310065,0,24.85
3310066,0,19.57
3310067,0,38.45
3310068,7,77.01
3310069,0,87.2
3310071,0,44.79
3310072,0,33.18
3310073,6,18.27
3310074,0,53.82
3310075,0,55.67
3310076,0,51.47
3310077,0,39.29
3310078,0,97.07
3310079,0,35.32
3310080,9,113.25
3310081,11,117.86
3310082,0,83.81
3310083,0,156.8
3310084,1,118.24
3310085,3,51.94
3310086,4,29.24
3310087,2,44.93
3310088,0,20.68
3310089,0,42.52
3310091,0,24.77
3310092,7,24.94
3310093,3,42.53
3310094,2,48.12
3310095,2,46.95
3310096,8,20.71
3310099,1,37.46
3310100,0,20.87
3310101,2,22.08
3310102,2,75.63
3310104,2,26.56
3310105,0,94.49
3310107,1,48.49
3310108,0,79.94
3310109,0,68.47
3310111,0,63.13
3310112,1,98.12
3310113,0,83.76
3310114,10,176.16
3310116,0,160.64
3310117,6,236.26
3310118,4,147.44
3310120,2,105.64
3310121,0,63.96
3310122,0,28.83
3310123,2,69.73
3310124,0,52.77
3310125,0,43.88
3310126,0,70.33
3310127,3,54.46
3310128,0,5.86
3310129,7,75.14
3310130,4,40.24
3310131,5,23.92
3310132,0,72.46
3310133,0,74.56
3310134,0,86.38
3310135,35,53.21
3310136,8,38.62
3310137,8,22.4
3310138,0,27.49
3310140,0,20.74
3310141,0,10.23
3310142,5,93.26
3310143,0,98.21
3310144,5,20.93
3310145,1,24.26
3310146,4,29.72
3310147,3,20.64
3310148,0,23.77
3310149,1,43.21
3310150,0,72.12
3310151,1,55.4
3310152,0,40.96
3310153,2,31.04
3310154,0,26.28
3310155,0,24.83
3310156,0,25.35
3310157,0,20.92
3310158,0,15.46
3310159,0,62.75
3310160,0,19.29
