Product/Service Name,Quantity On Hand
12D,1872
12S,2365
42S,1657
F1002A,29
F1004A,44
F1005A,48
F1007A,38
F1008A,45
F1009A,16
F100S,134
F1011,181
F1012,79
F1013,97
F1026,45
F102S,196
F1035,39
F1048A,64
F104S,755
F1052A,15
F1053,28
F1055,28
F1060A,0
F1062,3
F1072,84
F1074A,120
F1075A,112
F1076,55
F1078,84
F1079,-1
F1084,40
F1087A,25
F1089A,75
F1100A,161
F1101A,31
F1102A,16
F1103A,33
F1104A,85
F1108A,32
F1109A,33
F1112A,43
F1113A,34
F1114A,48
F1115A,0
F1117A,94
F1118A,30
F1119A,23
F111S,131
F1121A,49
F1122,69
F1124A,23
F1127A,21
F1133A,41
F1146A,41
F1150A,0
F1152A,39
F1155A,63
F1158A,25
F1160A,28
F1162A,31
F1164A,35
F1174A,23
F1175A,31
F1192A,27
F1193,35
F1194A,22
F1195A,22
F1196A,64
F1197A,22
F1199,31
F1201A,59
F1202A,139
F1204A,74
F1205A,61
F1206A,18
F1207A,24
F1208A,30
F1209A,34
F120S,81
F1211A,32
F1212A,33
F1213A,29
F1214A,35
F1215A,20
F1216A,29
F1217A,51
F1218A,44
F1219A,53
F121S,67
F1221A,27
F1223A,13
F1224A,87
F1225A,34
F1228A,22
F1229A,25
F1230A,21
F1231A,17
F1232A,-3
F1233A,42
F1234A,11
F1235A,8
F123S,27
F1240A,28
F1241A,53
F1242A,44
F1243A,24
F1244A,14
F1245A,40
F1246A,9
F1247,0
F1248A,0
F1249A,4
F1250A,30
F1254A,220
F1255A,16
F1256A,11
F1257A,40
F1259A,30
F1260A,21
F1263A,32
F1264A,35
F1265,135
F1266A,31
F1268A,44
F1269,42
F1270A,30
F1271A,45
F1272A,25
F1273A,29
F1274A,29
F1276A,45
F1277A,46
F1278A,22
F1279A,94
F1281A,68
F1283A,8
F1284A,15
F1287A,16
F1288A,4
F1289A,32
F1291A,74
F1292A,9
F1293A,57
F1294A,27
F1296A,21
F1298A,37
F1299A,33
F1301,33
F1308A,0
F1312A,144
F1313A,29
F1314,27
F131S,224
F1323,62
F1324A,32
F1325,128
F1327A,24
F1329,66
F1330A,68
F1333A,52
F1335,92
F1336A,27
F1337A,29
F1340,57
F1341A,21
F1343A,9
F1344,12
F1345A,19
F1347A,-1
F1348,117
F1349A,22
F1350A,27
F1351,40
F1352A,22
F1354A,17
F1355A,15
F1358A,22
F1359A,32
F1360A,23
F1361A,44
F1362A,21
F1363A,74
F1364A,29
F1365A,44
F1366A,18
F1367A,43
F1368A,135
F1369A,77
F1370,40
F1371A,118
F1372A,34
F1373A,18
F1374A,211
F1375A,11
F1376A,15
F1377,81
F1379A,25
F1392A,26
F1393A,47
F1394A,25
F1397,70
F1399A,65
F139S,65
F1400A,15
F1401,23
F1404A,14
F1405A,15
F1406A,0
F1407A,25
F1408,48
F141S,23
F1440A,42
F1445A,21
F1446A,58
F1447A,40
F1448A,-1
F1449A,63
F1450A,27
F1451A,4
F1452A,25
F1453A,25
F1454A,55
F1455A,44
F1457,44
F1458,52
F1459,79
F1460A,37
F1461A,36
F1463A,13
F1464A,38
F1465A,23
F1466A,27
F1467A,16
F1468A,76
F1469A,62
F1470A,111
F1472A,49
F1476A,38
F1478A,20
F1480A,17
F1481A,23
F1482,157
F1484A,33
F1485A,29
F1486A,15
F1487A,45
F1495,1474
F1496,241
F1497,310
F1498,122
F1502A,25
F1503A,29
F1504A,20
F1507A,8
F1509A,56
F1510A,10
F1512A,29
F1514A,28
F1516A,69
F1517A,21
F1518A,26
F1519A,28
F1520,24
F1521A,20
F1522A,0
F1523A,22
F1526,33
F1527A,29
F1529,71
F1530A,43
F1532,29
F1533,64
F1534A,9
F1535A,27
F1536A,8
F1538A,7
F1539A,13
F1541A,34
F1542A,12
F1544A,-1
F1545,23
F1546,30
F1551A,-1
F1552A,-1
F1553A,15
F1556A,0
F1560A,38
F1564A,29
F1565A,21
F1566A,41
F1567A,55
F1568A,35
F1569A,42
F1571A,15
F1572A,1
F1573A,29
F1578A,57
F1579A,43
F1580A,44
F1583A,11
F1587,80
F1588A,44
F1589A,13
F1590A,57
F1591A,-1
F1592A,0
F1593A,3
F1594A,10
F1595A,25
F1596A,22
F1597A,10
F1598A,23
F1599A,38
F1610A,19
F1611A,26
F1616A,12
F1617A,0
F1619A,73
F1621A,-1
F1624A,31
F1625A,19
F1627A,22
F1632A,31
F1634A,-1
F1644A,39
F1645A,5
F1646A,13
F1650A,-1
F1657A,23
F1662A,10
F1665A,63
F1666A,101
F1667A,45
F1693A,5
F1694A,26
F1698A,10
F201S,460
F2020A,33
F2024A,32
F2033A,28
F2037A,27
F204S,24
F205S,162
F210S,75
F2126,21
F212S,96
F2169,131
F216S,55
F218S,50
F219S,443
F2201,160
F220S,74
F221S,36
F2221,163
F2223,50
F222S,49
F2233,124
F2234A,24
F223S,108
F224S,124
F2251,43
F2276,-1
F2279,0
F227S,86
F2281,102
F2288A,13
F228S,6
F2306,40
F230S,59
F2310,89
F2316,37
F2318,25
F231S,29
F2324,54
F232S,459
F233S,268
F2346A,14
F2348A,16
F235S,171
F236S,48
F2370A,9
F2379A,32
F2383A,62
F239S,18
F241S,53
F242S,41
F246S,85
F247S,323
F249S,41
F2500A,31
F2501A,28
F2502A,24
F2503A,40
F2509A,35
F250S,46
F2510A,39
F2511A,177
F2512A,-1
F2517A,184
F2518A,649
F2519A,255
F251S,135
F2520A,37
F2521A,26
F2522A,38
F2523A,59
F2524A,35
F2525A,30
F2528A,63
F2529A,213
F2530A,12
F2531A,75
F2532A,47
F2533A,69
F2537,54
F253S,237
F2540A,78
F2541A,30
F2543A,41
F2544A,30
F2545A,26
F2547A,24
F2548A,7
F2550A,109
F2551,91
F2553A,135
F2554A,41
F2556,197
F2557,29
F255S,81
F2560A,0
F2562A,32
F2563A,32
F2564A,61
F2565A,31
F2566A,57
F2567A,155
F2568A,102
F2569A,49
F2570A,51
F2571A,106
F2574A,61
F2575A,40
F2576A,23
F2577A,0
F2579A,27
F2580A,38
F2583A,6
F2584A,32
F2585A,34
F2586A,31
F2588A,33
F2589A,44
F2591A,30
F2592A,6
F2594A,63
F2595A,48
F2596A,33
F2597A,18
F2598A,16
F2599A,36
F259S,360
F2600A,13
F2602A,51
F2603A,8
F2604A,6
F2608A,0
F260S,81
F2610A,1
F2611A,-1
F2612A,34
F2613A,33
F2615A,99
F2616A,35
F2617A,51
F261S,115
F2621A,41
F2622A,31
F2623A,19
F2625A,20
F2626A,19
F2627A,48
F2628A,33
F262S,158
F2630A,26
F2633A,0
F2634A,30
F2636A,13
F2637A,37
F263S,37
F2643A,52
F2644A,67
F2645A,39
F2647A,31
F2648A,42
F2652A,65
F2654A,30
F265S,51
F2661A,34
F266S,41
F267S,229
F2680A,41
F2686A,28
F2687A,88
F2689A,10
F268S,26
F2690A,47
F2692A,10
F2693A,35
F2695A,1
F2699A,303
F269S,62
F2701A,0
F2702A,23
F2703A,20
F2705A,18
F2707A,29
F2708A,46
F2709A,35
F2710A,15
F2711A,30
F2712A,36
F2713A,20
F2714A,31
F2716A,42
F2717A,59
F2718A,233
F2719A,20
F271S,0
F2721A,32
F2722A,20
F2723A,25
F2726A,42
F2728A,26
F2729A,30
F2732A,0
F2733A,27
F2735A,15
F2737A,59
F2740,120
F2741A,33
F2743A,13
F2747,0
F2748A,36
F274S,39
F2750A,20
F2753A,38
F2756,25
F2757A,8
F2758A,10
F2759A,33
F275S,29
F2760A,25
F2761A,6
F2762A,27
F2763A,28
F2764A,127
F2766A,18
F2768A,0
F2769A,17
F276S,475
F2770A,68
F2771A,16
F2775A,29
F2776A,34
F2777A,29
F2778A,61
F2779A,140
F2788A,18
F278S,93
F2790A,19
F2791A,45
F2792A,159
F2793A,49
F2794A,27
F2795,34
F2796A,29
F2797A,17
F2799A,13
F279S,247
F2810A,44
F2811A,16
F2812A,62
F2813A,25
F2815A,38
F2816A,20
F2817A,20
F2819A,179
