"PART#","CA WAREHOUSE","VA WAREHOUSE","TX WAREHOUSE","PRICE"
"PC30000","IN STOCK","IN STOCK","IN STOCK","53.66"
"PC30001","LIMITED QTY","IN STOCK","LIMITED QTY","48.66"
"PC30002","IN STOCK","LIMITED QTY","LIMITED QTY","54.66"
"PC30003","IN STOCK","IN STOCK","IN STOCK","59.66"
"PC30004","IN STOCK","LIMITED QTY","LIMITED QTY","45.66"
"PC30005","IN STOCK","IN STOCK","IN STOCK","69.66"
"PC30006","IN STOCK","IN STOCK","IN STOCK","81.66"
"PC30007","IN STOCK","IN STOCK","IN STOCK","41.66"
"PC30008","IN STOCK","IN STOCK","IN STOCK","43.66"
"PC30009","IN STOCK","IN STOCK","IN STOCK","54.66"
"PC3000P","IN STOCK","LIMITED QTY","LIMITED QTY","55.66"
"PC30010","IN STOCK","LIMITED QTY","IN STOCK","55.66"
"PC30011","IN STOCK","LIMITED QTY","IN STOCK","55.66"
"PC30012","IN STOCK","IN STOCK","LIMITED QTY","52.66"
"PC30013","IN STOCK","IN STOCK","LIMITED QTY","49.66"
"PC30014","IN STOCK","LIMITED QTY","LIMITED QTY","73.66"
"PC30015","IN STOCK","IN STOCK","IN STOCK","55.66"
"PC30016","IN STOCK","LIMITED QTY","LIMITED QTY","69.66"
"PC30017","IN STOCK","IN STOCK","IN STOCK","54.66"
"PC30018","IN STOCK","IN STOCK","LIMITED QTY","55.66"
"PC30019","IN STOCK","IN STOCK","LIMITED QTY","54.66"
"PC3001P","IN STOCK","LIMITED QTY","OUT OF STOCK","51.66"
"PC30020","IN STOCK","IN STOCK","IN STOCK","61.66"
"PC30021","IN STOCK","IN STOCK","IN STOCK","52.66"
"PC30022","IN STOCK","IN STOCK","LIMITED QTY","55.66"
"PC30023","LIMITED QTY","LIMITED QTY","LIMITED QTY","55.66"
"PC30024","IN STOCK","IN STOCK","LIMITED QTY","49.66"
"PC30025","IN STOCK","IN STOCK","IN STOCK","39.66"
"PC30026","IN STOCK","IN STOCK","IN STOCK","52.66"
"PC30027","IN STOCK","IN STOCK","LIMITED QTY","54.66"
"PC30028","IN STOCK","IN STOCK","IN STOCK","85.66"
"PC30029F","IN STOCK","IN STOCK","IN STOCK","52.66"
"PC3002P","LIMITED QTY","LIMITED QTY","LIMITED QTY","62.66"
"PC30030","IN STOCK","IN STOCK","IN STOCK","53.66"
"PC30031","IN STOCK","IN STOCK","IN STOCK","62.66"
"PC30032","LIMITED QTY","LIMITED QTY","LIMITED QTY","62.66"
"PC30033","IN STOCK","IN STOCK","IN STOCK","47.66"
