PART#,CROSS,NV,TX,PA,FL,PRICE
/94HD012,,19,0,0,0,213.68
/98AM402-1,,0,0,0,0,485.5
/98AM402-5,,0,0,0,0,252.48
01-20151S,,14,0,0,0,193.01
01-20447S,,0,0,0,0,201.07
10-160-01011,,0,0,0,0,116.54
11-0001,,0,0,0,0,0.76
13-0001,,0,0,0,0,688.29
13-0002,,0,0,0,0,581.26
13-0003,,0,0,0,0,565.33
13-0004,,0,0,0,0,610.05
13-0005,,0,0,0,0,472.24
13-0006,,0,0,0,0,668.42
13-0007,,0,0,0,0,625.31
13-0008,,0,0,0,0,97.22
13-0009,,0,0,0,0,95.72
13-0010,,0,0,0,0,100.42
13-0011,,0,0,0,0,106.84
13-0012,,0,0,0,0,121.01
13-0013,,20,0,0,0,104.88
13-0014,,15,0,0,0,96.57
13-0015,,30,0,0,0,100.23
13-0016,,20,0,0,0,135.78
13-0017,,12,0,0,0,136.56
13-0018,,8,0,0,0,140.44
13-0019,,50,0,0,0,118.2
13-0020,,0,0,0,0,73.69
13-0021,,5,0,0,0,81.93
13-0022,,0,0,0,0,115
13-0023,,0,0,0,0,68.95
13-0024,,0,0,0,0,103.41
13-0025,,0,0,0,0,51.46
13-0026,,1,0,0,0,70.12
13-0027,,0,0,0,0,96.29
13-0028,,0,0,0,0,249.65
13-0030,,0,0,0,0,181.63
13-0031,,0,0,0,0,81.33
13-0032,,0,0,0,0,83.81
13-0033,,0,0,0,0,102.42
13-0034,,0,0,0,0,74.79
13-0035,,0,0,0,0,145.93
13-0036,,0,0,0,0,89.95
13-0037,,0,0,0,0,135.68
13-0038,,0,0,0,0,70.12
13-0039,,0,0,0,0,197.13
13-0040,,0,0,0,0,80.77
13-0041,,0,0,0,0,333
13-0042,,0,0,0,0,182.24
13-0043,,0,0,0,0,375
13-0044,,0,0,0,0,79.09
13-0045,,0,0,0,0,134.44
13-0046,,0,0,0,0,125.59
13-0047,,0,0,0,0,492.15
13-0048,,0,0,0,0,270.12
13-0049,,0,0,0,0,247.13
13-0050,,0,0,0,0,276.56
13-0052,,0,0,0,0,285.52
13-0053,,0,0,0,0,319.21
13-0054,,0,0,0,0,1032.97
13-0056,,0,0,0,0,277.43
13-0057,,0,0,0,0,174.75
13-0058,,0,0,0,0,381.55
13-0059,,0,0,0,0,248.1
13-0060,,0,0,0,0,534.49
13-0061,,0,0,0,0,641.6
13-0062,,0,0,0,0,288.13
13-0063,,0,0,0,0,459.52
13-0064,,0,0,0,0,459.52
13-0065,,0,0,0,0,256
13-0066,,0,0,0,0,256
13-0067,,0,0,0,0,298.85
13-0068,,0,0,0,0,118.73
13-0069,,0,0,0,0,358.03
13-0070,,0,0,0,0,307.72
13-0071,,0,0,0,0,136.59
13-0072,,0,0,0,0,173
13-0073,,0,0,0,0,345
13-0074,,0,0,0,0,158.59
13-0075,,14,0,0,0,246.7
13-0076,,55,0,0,0,199.26
13-0077,,0,0,0,0,353.14
13-0078,,5,0,0,0,209.14
13-0079,,5,0,0,0,96.2
13-0080,,9,0,0,0,236.24
13-0081,,0,0,0,0,315
13-0082,,0,0,0,0,506.65
13-0083,,0,0,0,0,479.51
13-0084,,0,0,0,0,326.41
13-0085,,0,0,0,0,590.96
13-0086,,0,0,0,0,527.84
13-0087,,0,0,0,0,377.21
13-0088,,0,0,0,0,622.4
13-0089,,0,0,0,0,417.08
13-0090,,0,0,0,0,93.37
13-0091,,0,0,0,0,122.94
13-0092,,0,0,0,0,66.85
13-0093,,0,0,0,0,606.23
13-0094,,0,0,0,0,606.23
13-0095,,0,0,0,0,143.87
13-0096,,0,0,0,0,173.56
13-0097,,0,0,0,0,260.11
13-0098,,0,0,0,0,309
13-0099,,0,0,0,0,260.11
13-0100,,0,0,0,0,150.76
13-0101,,0,0,0,0,157.08
13-0102,,0,0,0,0,139.8
13-0103,,0,0,0,0,139.8
13-0104,,17,0,0,0,132.17
13-0105,,25,0,0,0,105.25
13-0106,,0,0,0,0,175.76
13-0107,,0,0,0,0,152.41
13-0108,,15,0,0,0,119.11
13-0109,,1,0,0,0,224.75
13-0110,,0,0,0,0,312.24
13-0111,,10,0,0,0,110.95
13-0112,,0,0,0,0,1391.11
13-0113,,0,0,0,0,586.44
13-0114,,0,0,0,0,1149.99
13-0115,,0,0,0,0,553.1
13-0116,,0,0,0,0,553.1
13-0117,,0,0,0,0,462.49
13-0118,,0,0,0,0,1073.13
13-0285,,0,0,0,0,809.54
13-0304,,0,0,0,0,838.64
13-0305,,0,0,0,0,935.56
13-0306,,0,0,0,0,983.84
13-0307,,0,0,0,0,936.71
13-0308,,0,0,0,0,823.46
13-0309,,0,0,0,0,992.86
13-0310,,0,0,0,0,213.72
13-0311,,20,0,0,0,133.75
13-0340,,0,0,0,0,148.92
13-10-1003,,0,0,0,0,31.28
14-0001C,,0,0,0,0,128.8
14-0001NC,,0,0,0,0,368.65
14-0001NEW,,54,4,0,0,149.45
14-0001NIP,,5,2,0,3,251.98
14-0002C,,0,0,0,0,128.31
14-0002NC,,0,0,0,0,240.65
14-0002NEW,,21,1,0,0,185.69
14-0003C,,0,0,0,0,227.84
14-0003N,,0,0,0,0,229.3
14-0003NC,,1,0,0,0,275.43
14-0003NEW,,2,0,0,0,610.29
14-0004C,,0,0,0,0,180.03
14-0004N,,0,0,0,0,233.2
14-0004NC,,0,0,0,0,254
14-0004NEW,,0,0,0,0,278.96
14-0004NIP,,0,0,0,0,189.63
14-0005C,,0,0,0,0,215.69
14-0005N,,0,0,0,0,212
14-0005NC,,0,0,0,0,334.22
14-0005NEW,,11,0,0,0,221.44
14-0005NIP,,38,1,0,2,382.17
14-0006C,,2,0,0,0,195.51
14-0006N,,0,0,0,0,318
14-0006NC,,0,0,0,0,228.57
14-0006NEW,,9,1,0,0,331.12
14-0007C,,6,0,0,0,126.12
14-0007N,,36,0,0,0,227.9
14-0007NC,,5,0,0,0,139.1
14-0008C,,0,0,0,0,122.8
14-0008NC,,0,0,0,0,285.41
14-0008NEW,,32,0,0,0,150.86
14-0008P,,42,9,0,0,150.04
14-0008RC,,0,0,0,0,203.75
14-0009NC,,0,0,0,0,234.73
14-0009NEW,,86,2,0,0,187.06
14-0010C,,0,0,0,0,102.29
14-0010NC,,0,0,0,0,252.33
14-0011C,,1,0,0,0,269.58
14-0012C,,0,0,0,0,253.67
14-0012NC,,0,0,0,0,234.73
14-0013C,,0,0,0,0,238.91
14-0013NC,,0,0,0,0,205
14-0014C,,0,0,0,0,176.5
14-0014N,,0,0,0,0,212
14-0014NC,,374,6,0,0,296.15
14-0014NEW,,204,1,1,2,169.31
14-0014NIP,,31,6,0,5,235.73
14-0014RC,,2,0,0,0,121.06
14-0015C,,0,0,0,0,122.8
14-0015N,,0,0,0,0,212
14-0015NC,,0,0,0,0,149.99
14-0015NEW,,195,4,0,3,161.58
14-0015NIP,,5,2,0,1,254.05
14-0015RC,,0,0,0,0,108.16
14-0016C,,0,0,0,0,180.14
14-0016N,,0,0,0,0,212
14-0016NC,,0,0,0,0,142.59
14-0016NEW,,0,0,0,0,220
14-0016NIP,,0,0,0,0,234.73
14-0017C,,1,0,0,8,120.01
14-0017NC,,3,0,0,3,173.51
14-0017NEW,,5,1,0,0,115.77
14-0017NIP,,0,0,0,0,232.82
14-0018C,,0,0,0,1,110.09
14-0018FD,,0,0,0,0,232.68
14-0018NC,,0,0,0,0,197.92
14-0018NEW,,33,8,0,24,117.76
14-0018NIP,,0,0,0,0,151.33
14-0019C,,0,0,0,0,123.25
14-0019NC,,0,0,0,0,203.5
14-0019NEW,,18,3,0,5,124.92
14-0020C,,0,0,0,0,180.03
14-0020NC,,0,0,0,0,252.33
14-0020NEW,,20,0,0,0,182.59
14-0020RC,,1,0,0,0,203.75
14-0021C,,1,0,0,0,189.17
14-0021NC,,1,0,0,1,252.33
14-0022C,,0,0,0,1,132.01
14-0022NC,,0,0,0,0,231.7
14-0022NEW,,129,9,0,2,150.58
14-0022NIP,,1,2,0,1,211.39
14-0022RC,,0,0,0,0,112.72
14-0023C,,0,0,0,0,120.01
14-0023N,,4,0,0,0,212
14-0023NC,,2,1,0,2,175.46
14-0023NEW,,179,8,0,17,149.71
14-0023NIP,,0,0,0,0,234.73
14-0023RC,,14,0,0,0,95.57
14-0024C,,0,0,0,0,111.64
14-0024FD,,0,0,0,0,208.44
14-0024N,,0,0,0,0,212
14-0024NC,,0,0,0,0,234.73
14-0024NEW,,89,9,0,2,171.99
14-0024NIP,,0,0,0,0,234.73
14-0024RC,,0,0,0,0,71.28
14-0025C,,0,0,0,1,139.69
14-0025FD,,0,0,0,0,562.18
14-0025N,,0,0,0,0,318
