SKU,Quantity,Price
05-R101346,2.0,56.68
05-R1061,0.0,61.15
05-R1062,0.0,61.12
05-R1118,0.0,50.78
05-R1135,2.0,51.55
05-R1140,0.0,56.02
05-R1164,5.0,82.72
05-R1165,2.0,149.62
05-R1168,0.0,39.38
05-R1190,0.0,71.85
05-R1193,0.0,59.23
05-R1202,0.0,67.58
05-R1273,0.0,55.89
05-R1277,0.0,52.02
05-R1278,0.0,54.34
05-R1290,0.0,31.23
05-R1295,6.0,73.92
05-R13000,8.0,50.6
05-R13001,0.0,51.92
05-R13002,4.0,49.49
05-R13004,8.0,164.98
05-R13005,0.0,51.57
05-R13007,0.0,73.31
05-R13012,4.0,56.54
05-R13014,0.0,76.29
05-R13015,0.0,56.14
05-R13016,0.0,43.17
05-R13018,0.0,55.0
05-R13019,10.0,62.45
05-R1302,0.0,67.25
05-R13021,0.0,48.28
05-R13022,60.0,180.42
05-R13024,0.0,70.4
05-R13026,9.0,52.4
05-R13027,18.0,75.02
05-R13031,9.0,52.71
05-R13036,0.0,114.14
05-R13037,4.0,58.2
05-R13038,2.0,54.74
05-R13039,0.0,61.88
05-R13040,11.0,57.83
05-R13041,0.0,57.83
05-R13042,5.0,51.45
05-R13044,2.0,87.92
05-R13045,6.0,73.71
05-R13047,90.0,49.71
05-R13049,4.0,48.02
05-R13055,5.0,73.45
05-R13056,0.0,76.29
05-R13057,0.0,75.12
05-R13059,0.0,55.34
05-R1306,0.0,66.83
05-R13062,0.0,63.05
05-R13065,14.0,60.55
05-R13066,0.0,64.46
05-R13068,9.0,49.45
05-R13070,4.0,45.06
05-R13071,4.0,62.09
05-R13073,0.0,0.0
05-R13074,0.0,59.72
05-R13076,0.0,61.86
05-R13078,0.0,54.88
05-R13080,0.0,104.54
05-R13081,7.0,67.37
05-R13082,17.0,55.14
05-R13084,1.0,43.98
05-R13085,0.0,56.37
05-R13087,0.0,47.09
05-R13088,2.0,66.18
05-R13090,4.0,54.74
05-R13091,0.0,44.38
05-R13092,32.0,49.75
05-R13095,10.0,58.2
05-R13096,4.0,70.72
05-R13097,0.0,57.37
05-R13099,0.0,74.11
05-R13100,4.0,43.88
05-R13101,10.0,58.95
05-R13103,80.0,62.95
05-R13104,4.0,62.09
05-R13105,0.0,49.09
05-R13106,32.0,47.15
05-R13111,0.0,57.51
05-R13112,3.0,56.4
05-R13115,0.0,66.78
05-R13116,0.0,62.09
05-R13119,0.0,41.75
05-R13120,4.0,56.09
05-R13122,2.0,62.54
05-R13124,4.0,29.48
05-R13126,0.0,64.8
05-R13127,10.0,45.26
05-R13128,0.0,73.92
05-R13129,0.0,71.55
05-R13131,0.0,49.49
05-R13133,4.0,51.35
05-R13134,2.0,48.23
05-R13135,6.0,45.89
05-R13136,0.0,54.34
05-R13137,1.0,45.42
05-R13138,0.0,42.02
05-R13141,0.0,71.89
05-R13142,6.0,78.65
05-R13144,2.0,58.45
05-R13146,2.0,57.54
05-R13148,18.0,65.69
05-R13150,0.0,53.75
05-R13151,6.0,59.72
05-R13152,0.0,47.65
05-R13155,4.0,53.65
05-R13156,8.0,66.69
05-R13157,0.0,53.28
05-R13158,14.0,69.26
05-R13160,0.0,51.57
05-R13161,0.0,55.75
